"icon_name","asset_path","shows","used_in","notes"
"icon_activity_brand","Assets/Resources/UI/Icons/icon_activity_brand.png","active dog / activity symbol","Home needs Activity; Map activity button","Brand-colored shared icon."
"icon_audio","Assets/Resources/UI/Icons/icon_audio.png","speaker with sound waves","Settings Sound effects row","Brand-colored settings icon without _brand suffix."
"icon_cam","Assets/Resources/UI/Figma/HomeMain/icon_cam.png","camera","Home bottom HUD camera button","Figma-imported HomeMain icon, not in UI/Icons."
"icon_clean_brand","Assets/Resources/UI/Icons/icon_clean_brand.png","hygiene / cleaning tool","Home needs Hygiene","Brand-colored shared icon."
"icon_clothing_brand","Assets/Resources/UI/Icons/icon_clothing_brand.png","clothing / shirt","Profile milestone rewards","Returned by TrainerProgressionData."
"icon_collar_brand","Assets/Resources/UI/Icons/icon_collar_brand.png","collar / leash","Profile milestone rewards","Returned by TrainerProgressionData."
"icon_dog_brand","Assets/Resources/UI/Icons/icon_dog_brand.png","dog","Profile milestone rewards","Returned by TrainerProgressionData."
"icon_dogbed_brand","Assets/Resources/UI/Icons/icon_dogbed_brand.png","dog bed","Profile milestone rewards","Returned by TrainerProgressionData."
"icon_energy","Assets/Resources/UI/Figma/HomeStats/icon_energy.png","energy / stamina symbol","Home stats energy graph","Figma-imported HomeStats icon, not in UI/Icons."
"icon_feedback","Assets/Resources/UI/Icons/icon_feedback.png","feedback message / exclamation","Settings Send us feedback row","Brand-colored settings icon without _brand suffix."
"icon_food_brand","Assets/Resources/UI/Icons/icon_food_brand.png","food bowl","Home needs Food","Brand-colored shared icon."
"icon_foodsupply_brand","Assets/Resources/UI/Icons/icon_foodsupply_brand.png","food supplies / food bag","Profile milestone rewards","Returned by TrainerProgressionData."
"icon_friends_brand","Assets/Resources/UI/Icons/icon_friends_brand.png","friends / group","Map social chat button and social action","Brand-colored shared icon."
"icon_home_brand","Assets/Resources/UI/Icons/icon_home_brand.png","house","Bottom nav Home; Map home hotspots","Brand-colored shared icon."
"icon_inventory","Assets/Resources/UI/Figma/HomeMain/icon_inventory.png","inventory / add-ons symbol","Home bottom HUD inventory button","Figma-imported HomeMain icon, not in UI/Icons."
"icon_inventory_brand","Assets/Resources/UI/Icons/icon_inventory_brand.png","inventory / add-ons symbol","Home selected inventory state","Brand-colored shared icon."
"icon_join_brand","Assets/Resources/UI/Icons/icon_join_brand.png","join club / join group","Map social join button","Brand-colored shared icon."
"icon_kennel_brand","Assets/Resources/UI/Icons/icon_kennel_brand.png","kennel / dog house","Map kennel hotspot","Brand-colored shared icon."
"icon_language","Assets/Resources/UI/Icons/icon_language.png","globe / language","Settings Language row and Languages header","Brand-colored settings icon without _brand suffix."
"icon_map_brand","Assets/Resources/UI/Icons/icon_map_brand.png","folded map with pin","Bottom nav Map","Brand-colored shared icon."
"icon_mic","Assets/Resources/UI/Figma/HomeMain/icon_mic.png","microphone","Home bottom HUD mic button","Figma-imported HomeMain icon, not in UI/Icons."
"icon_nextarrow","Assets/Resources/UI/Icons/icon_nextarrow.png","chevron arrow","Settings back/row chevrons; generic list chevrons","Tinted brand color at runtime."
"icon_notification","Assets/Resources/UI/Icons/icon_notification.png","bell","Settings Notifications row and Notifications header","Brand-colored settings icon without _brand suffix."
"icon_park_brand","Assets/Resources/UI/Icons/icon_park_brand.png","dog park / park symbol","Map dog park hotspots","Brand-colored shared icon."
"icon_plus","Assets/Resources/UI/Icons/icon_plus.png","plus / add","Map add-friend button; Shop add-points affordance","Tinted brand or white depending on use."
"icon_profile_brand","Assets/Resources/UI/Icons/icon_profile_brand.png","profile / person","Bottom nav Profile","Brand-colored shared icon."
"icon_rating","Assets/Resources/UI/Icons/icon_rating.png","star / rating","Settings Rate our app row","Brand-colored settings icon without _brand suffix."
"icon_settings_notfilled","Assets/Resources/UI/Icons/icon_settings_notfilled.png","gear outline","Bottom nav Settings; Settings header","Brand-colored settings icon without _brand suffix."
"icon_share","Assets/Resources/UI/Icons/icon_share.png","share nodes","Settings Share our app row","Brand-colored settings icon without _brand suffix."
"icon_shop_brand","Assets/Resources/UI/Icons/icon_shop_brand.png","storefront","Bottom nav Shop","Brand-colored shared icon."
"icon_toys_brand","Assets/Resources/UI/Icons/icon_toys_brand.png","toy / ball","Profile milestone rewards","Returned by TrainerProgressionData."
"icon_trophy_brand","Assets/Resources/UI/Icons/icon_trophy_brand.png","trophy","Map competition center hotspot","Brand-colored shared icon."
"icon_water_brand","Assets/Resources/UI/Icons/icon_water_brand.png","water drop","Home needs Water","Brand-colored shared icon."
